R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_wins,B_losses,B_draw,R_wins,R_losses,R_draw,B_Stance,R_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Gian Villante,Tom Lawlor,Robert Madrigal,07/25_2015,"Chicago, Illinois, USA",Blue,False,LightHeavyweight,5,4,0,3,2,0,Southpaw,Orthodox,182.88,187.96,205.0,190.5,193.04,230.0,32.0,29.0
Eddie Wineland,Bryan Caraway,Yves Lavigne,07/25_2015,"Chicago, Illinois, USA",Blue,False,Bantamweight,4,2,0,3,4,0,Orthodox,Orthodox,172.72,172.72,135.0,170.18,175.26,135.0,30.0,31.0
TJ Dillashaw,Renan Barao,Herb Dean,07/25_2015,"Chicago, Illinois, USA",Red,True,Bantamweight,8,1,0,7,2,0,Orthodox,Orthodox,167.64,177.8,145.0,167.64,170.18,125.0,28.0,29.0
Kenny Robertson,Ben Saunders,Otto Torriero,07/25_2015,"Chicago, Illinois, USA",Blue,False,Welterweight,6,3,0,4,3,0,Orthodox,Orthodox,187.96,195.58,170.0,177.8,187.96,170.0,32.0,31.0
Miesha Tate,Jessica Eye,Yves Lavigne,07/25_2015,"Chicago, Illinois, USA",Red,False,WomenBantamweight,1,2,0,3,2,0,Orthodox,Orthodox,167.64,167.64,125.0,167.64,167.64,135.0,28.0,28.0
Daron Cruickshank,James Krause,Robert Madrigal,07/25_2015,"Chicago, Illinois, USA",Blue,False,Lightweight,2,3,0,6,5,0,Orthodox,Switch,187.96,185.42,170.0,172.72,182.88,155.0,29.0,30.0
Zak Cummings,Dominique Steele,Otto Torriero,07/25_2015,"Chicago, Illinois, USA",Red,False,Middleweight,0,0,0,2,1,0,Orthodox,Southpaw,177.8,187.96,170.0,182.88,190.5,185.0,27.0,30.0
Jessamyn Duke,Elizabeth Phillips,Herb Dean,07/25_2015,"Chicago, Illinois, USA",Blue,False,WomenBantamweight,0,2,0,1,2,0,Orthodox,Orthodox,167.64,165.1,135.0,180.34,185.42,135.0,28.0,29.0
Ramsey Nijem,Andrew Holbrook,Yves Lavigne,07/25_2015,"Chicago, Illinois, USA",Blue,False,Lightweight,0,0,0,5,4,0,Southpaw,Orthodox,180.34,177.8,155.0,180.34,190.5,155.0,29.0,27.0
Leon Edwards,Pawel Pawlak,Leon Roberts,07/18_2015,"Glasgow, Scotland, United Kingdom",Red,False,Welterweight,1,1,0,1,1,0,Orthodox,Southpaw,182.88,185.42,170.0,187.96,187.96,170.0,26.0,23.0
Joanne Calderwood,Cortney Casey,Grant Waterman,07/18_2015,"Glasgow, Scotland, United Kingdom",Red,False,WomenStrawweight,0,0,0,1,1,0,Orthodox,Orthodox,170.18,170.18,125.0,167.64,165.1,125.0,28.0,29.0
Joe Duffy,Ivan Jorge,Neil Hall,07/18_2015,"Glasgow, Scotland, United Kingdom",Red,False,Lightweight,2,1,0,1,0,0,Orthodox,Orthodox,175.26,185.42,155.0,177.8,185.42,155.0,34.0,27.0
Ross Pearson,Evan Dunham,Marc Goddard,07/18_2015,"Glasgow, Scotland, United Kingdom",Blue,False,Lightweight,8,6,0,9,6,0,Southpaw,Orthodox,177.8,177.8,155.0,172.72,175.26,155.0,33.0,30.0
Paddy Holohan,Vaughan Lee,Neil Hall,07/18_2015,"Glasgow, Scotland, United Kingdom",Red,False,Flyweight,3,4,0,2,1,0,Orthodox,Orthodox,167.64,167.64,125.0,177.8,175.26,125.0,32.0,27.0
Michael Bisping,Thales Leites,Leon Roberts,07/18_2015,"Glasgow, Scotland, United Kingdom",Red,False,Middleweight,10,3,0,16,7,0,Orthodox,Orthodox,185.42,198.12,185.0,185.42,190.5,185.0,33.0,36.0
Stevie Ray,Leonardo Mafra,Marc Goddard,07/18_2015,"Glasgow, Scotland, United Kingdom",Red,False,Lightweight,1,2,0,1,0,0,Orthodox,Southpaw,177.8,177.8,155.0,177.8,177.8,155.0,26.0,25.0
Mickael Lebout,Teemu Packalen,Leon Roberts,07/18_2015,"Glasgow, Scotland, United Kingdom",Red,False,Lightweight,0,0,0,0,1,0,Orthodox,Orthodox,185.42,190.5,155.0,180.34,185.42,155.0,28.0,27.0
Daniel Omielanczuk,Chris de la Rocha,Grant Waterman,07/18_2015,"Glasgow, Scotland, United Kingdom",Red,False,Heavyweight,0,0,0,1,2,0,Orthodox,Southpaw,190.5,203.2,250.0,182.88,187.96,247.0,36.0,32.0
Marcus Brimage,Jimmie Rivera,Neil Hall,07/18_2015,"Glasgow, Scotland, United Kingdom",Blue,False,Bantamweight,0,0,0,4,3,0,Orthodox,Southpaw,162.56,172.72,135.0,162.56,180.34,135.0,26.0,30.0
Sam Sicilia,Yaotzin Meza,Jason Herzog,07/15_2015,"San Diego, California, USA",Red,False,Featherweight,2,3,0,4,4,0,Orthodox,Orthodox,175.26,180.34,145.0,172.72,170.18,145.0,34.0,29.0
Alan Jouban,Matt Dwyer,Herb Dean,07/15_2015,"San Diego, California, USA",Red,False,Welterweight,1,1,0,2,1,0,Orthodox,Southpaw,193.04,193.04,170.0,182.88,185.42,170.0,25.0,33.0
Jessica Andrade,Sarah Moras,John McCarthy,07/15_2015,"San Diego, California, USA",Red,False,WomenBantamweight,1,0,0,3,2,0,Orthodox,Orthodox,170.18,170.18,135.0,154.94,157.48,115.0,27.0,23.0
Kevin Lee,James Moontasri,John McCarthy,07/15_2015,"San Diego, California, USA",Red,False,Lightweight,1,1,0,3,1,0,Switch,Orthodox,177.8,180.34,170.0,175.26,195.58,170.0,27.0,22.0
Josh Thomson,Tony Ferguson,Herb Dean,07/15_2015,"San Diego, California, USA",Blue,False,Lightweight,8,1,0,3,3,0,Orthodox,Orthodox,180.34,193.04,155.0,177.8,180.34,155.0,31.0,36.0
Scott Jorgensen,Manvel Gamburyan,Herb Dean,07/15_2015,"San Diego, California, USA",Blue,False,Bantamweight,5,7,0,4,6,0,Orthodox,Orthodox,165.1,170.18,135.0,165.1,167.64,135.0,34.0,32.0
Holly Holm,Marion Reneau,Jason Herzog,07/15_2015,"San Diego, California, USA",Red,False,WomenBantamweight,2,0,0,1,0,0,Orthodox,Southpaw,167.64,172.72,135.0,172.72,175.26,135.0,38.0,33.0
Frank Mir,Todd Duffee,John McCarthy,07/15_2015,"San Diego, California, USA",Red,False,Heavyweight,3,1,0,15,9,0,Orthodox,Southpaw,190.5,198.12,260.0,190.5,200.66,264.0,29.0,36.0
Rani Yahya,Masanori Kanehara,Jason Herzog,07/15_2015,"San Diego, California, USA",Red,False,Bantamweight,1,0,0,5,3,0,Orthodox,Orthodox,170.18,170.18,135.0,167.64,170.18,135.0,32.0,30.0
Andrew Craig,Lyman Good,Jason Herzog,07/15_2015,"San Diego, California, USA",Blue,False,Welterweight,0,0,0,3,3,0,Orthodox,Orthodox,182.88,187.96,170.0,185.42,193.04,170.0,30.0,29.0
Igor Araujo,Sean Strickland,John McCarthy,07/15_2015,"San Diego, California, USA",Blue,False,Welterweight,2,1,0,2,1,0,Orthodox,Orthodox,185.42,193.04,185.0,185.42,195.58,170.0,24.0,34.0
Kevin Casey,Ildemar Alcantara,Herb Dean,07/15_2015,"San Diego, California, USA",Red,False,Middleweight,4,2,0,0,2,0,Orthodox,Southpaw,187.96,198.12,185.0,180.34,195.58,185.0,32.0,34.0
Maximo Blanco,Mike de la Torre,Yves Lavigne,07/12_2015,"Las Vegas, Nevada, USA",Red,False,Featherweight,1,2,0,3,3,0,Orthodox,Orthodox,180.34,180.34,145.0,172.72,180.34,145.0,28.0,31.0
Jorge Masvidal,Cezar Ferreira,John McCarthy,07/12_2015,"Las Vegas, Nevada, USA",Red,False,Welterweight,4,2,0,5,2,0,Southpaw,Orthodox,185.42,198.12,185.0,180.34,187.96,170.0,30.0,30.0
Josh Samman,Caio Magalhaes,John McCarthy,07/12_2015,"Las Vegas, Nevada, USA",Red,False,Middleweight,4,1,0,2,0,0,Orthodox,Orthodox,185.42,185.42,185.0,190.5,200.66,185.0,27.0,27.0
Angela Magana,Michelle Waterson,Herb Dean,07/12_2015,"Las Vegas, Nevada, USA",Blue,False,WomenStrawweight,0,0,0,0,1,0,Orthodox,Orthodox,160.02,157.48,115.0,154.94,165.1,115.0,29.0,31.0
Jake Ellenberger,Stephen Thompson,John McCarthy,07/12_2015,"Las Vegas, Nevada, USA",Blue,False,Welterweight,5,1,0,9,5,0,Orthodox,Orthodox,182.88,190.5,170.0,175.26,180.34,170.0,32.0,30.0
Russell Doane,Jerrod Sanders,Herb Dean,07/12_2015,"Las Vegas, Nevada, USA",Blue,False,Bantamweight,0,2,0,2,1,0,Orthodox,Orthodox,172.72,182.88,135.0,170.18,177.8,135.0,35.0,28.0
Michael Graves,Vicente Luque,Yves Lavigne,07/12_2015,"Las Vegas, Nevada, USA",Red,False,Welterweight,0,0,0,0,0,0,Orthodox,Orthodox,180.34,190.5,170.0,177.8,180.34,170.0,23.0,24.0
Darrell Montague,Willie Gates,Kim Winslow,07/12_2015,"Las Vegas, Nevada, USA",Blue,False,Flyweight,0,1,0,0,2,0,Orthodox,Southpaw,172.72,182.88,125.0,167.64,170.18,125.0,28.0,27.0
George Sullivan,Dominic Waters,Yves Lavigne,07/12_2015,"Las Vegas, Nevada, USA",Red,False,Welterweight,0,0,0,2,1,0,Orthodox,Orthodox,185.42,200.66,170.0,182.88,185.42,170.0,26.0,34.0
Dan Miller,Trevor Smith,Kim Winslow,07/12_2015,"Las Vegas, Nevada, USA",Blue,False,Middleweight,2,3,0,6,6,0,Orthodox,Orthodox,190.5,190.5,185.0,185.42,187.96,185.0,34.0,34.0
Chad Mendes,Conor McGregor,Herb Dean,07/11_2015,"Las Vegas, Nevada, USA",Blue,True,Featherweight,5,0,0,8,2,0,Southpaw,Orthodox,175.26,187.96,155.0,167.64,167.64,145.0,26.0,30.0
Matt Brown,Tim Means,Marc Goddard,07/11_2015,"Las Vegas, Nevada, USA",Red,False,Welterweight,6,3,0,12,7,0,Orthodox,Orthodox,187.96,190.5,170.0,182.88,190.5,170.0,31.0,34.0
Gunnar Nelson,Brandon Thatch,Herb Dean,07/11_2015,"Las Vegas, Nevada, USA",Red,False,Welterweight,2,1,0,4,1,0,Switch,Switch,187.96,187.96,170.0,180.34,182.88,170.0,29.0,26.0
Robbie Lawler,Rory MacDonald,John McCarthy,07/11_2015,"Las Vegas, Nevada, USA",Red,True,Welterweight,9,2,0,10,4,0,Orthodox,Southpaw,182.88,193.04,170.0,180.34,187.96,170.0,25.0,33.0
Cathal Pendred,John Howard,John McCarthy,07/11_2015,"Las Vegas, Nevada, USA",Blue,False,Welterweight,6,6,0,4,0,0,Orthodox,Orthodox,170.18,182.88,170.0,185.42,190.5,170.0,32.0,27.0
Mike Swick,Alex Garcia,Herb Dean,07/11_2015,"Las Vegas, Nevada, USA",Blue,False,Welterweight,2,1,0,10,4,0,Orthodox,Orthodox,175.26,182.88,170.0,185.42,195.58,170.0,27.0,36.0
Brad Pickett,Thomas Almeida,John McCarthy,07/11_2015,"Las Vegas, Nevada, USA",Blue,False,Bantamweight,2,0,0,4,5,0,Southpaw,Orthodox,170.18,177.8,145.0,167.64,172.72,135.0,23.0,36.0
Dennis Bermudez,Jeremy Stephens,Marc Goddard,07/11_2015,"Las Vegas, Nevada, USA",Blue,False,Featherweight,10,10,0,7,2,0,Orthodox,Orthodox,175.26,180.34,145.0,167.64,167.64,155.0,29.0,28.0
Neil Seery,Louis Smolka,Marc Goddard,07/11_2015,"Las Vegas, Nevada, USA",Blue,False,Flyweight,2,1,0,2,1,0,Orthodox,Orthodox,175.26,172.72,135.0,162.56,162.56,125.0,23.0,35.0
Yosdenis Cedeno,Cody Pfister,Chris Tognoni,07/11_2015,"Las Vegas, Nevada, USA",Blue,False,Lightweight,0,1,0,1,2,0,Orthodox,Orthodox,177.8,185.42,155.0,172.72,175.26,155.0,24.0,30.0
Cody Garbrandt,Henry Briones,Chris Tognoni,07/11_2015,"Las Vegas, Nevada, USA",Red,False,Bantamweight,1,0,0,1,0,0,Orthodox,Orthodox,172.72,175.26,135.0,172.72,165.1,135.0,34.0,24.0
Santiago Ponzinibbio,Lorenz Larkin,Herb Dean,06/27_2015,"Hollywood, Florida, USA",Blue,False,Welterweight,2,4,0,2,1,0,Orthodox,Orthodox,180.34,182.88,170.0,182.88,185.42,170.0,28.0,28.0
Antonio Carlos Junior,Eddie Gordon,Jorge Alonso,06/27_2015,"Hollywood, Florida, USA",Red,False,Middleweight,1,2,0,1,1,0,Orthodox,Orthodox,182.88,193.04,185.0,187.96,200.66,185.0,31.0,25.0
Lyoto Machida,Yoel Romero,John McCarthy,06/27_2015,"Hollywood, Florida, USA",Blue,False,Middleweight,5,0,0,14,6,0,Southpaw,Southpaw,182.88,185.42,185.0,185.42,187.96,185.0,38.0,37.0
Hacran Dias,Levan Makashvili,John McCarthy,06/27_2015,"Hollywood, Florida, USA",Red,False,Featherweight,1,0,0,2,2,0,Orthodox,Orthodox,172.72,172.72,145.0,172.72,175.26,155.0,26.0,31.0
Thiago Santos,Steve Bosse,James Warring,06/27_2015,"Hollywood, Florida, USA",Red,False,Middleweight,0,0,0,2,2,0,Orthodox,Orthodox,180.34,182.88,205.0,187.96,193.04,205.0,33.0,31.0
Nick Hein,Lukasz Sajewski,Kevin Sataki,06/20_2015,"Berlin, Berlin, Germany",Red,False,Lightweight,0,0,0,1,1,0,Orthodox,Southpaw,172.72,180.34,155.0,167.64,167.64,155.0,24.0,31.0
Joanna Jedrzejczyk,Jessica Penne,Marc Goddard,06/20_2015,"Berlin, Berlin, Germany",Red,True,WomenStrawweight,1,0,0,3,0,0,Orthodox,Orthodox,165.1,170.18,115.0,167.64,165.1,115.0,32.0,27.0
Dennis Siver,Tatsuya Kawajiri,Leon Roberts,06/20_2015,"Berlin, Berlin, Germany",Blue,False,Featherweight,1,1,0,11,8,0,Orthodox,Orthodox,170.18,175.26,145.0,167.64,177.8,145.0,37.0,36.0
Makwan Amirkhani,Masio Fullen,Leon Roberts,06/20_2015,"Berlin, Berlin, Germany",Red,False,Featherweight,1,0,0,1,0,0,Orthodox,Southpaw,177.8,177.8,145.0,177.8,182.88,145.0,28.0,26.0
Mairbek Taisumov,Alan Patrick,Kevin Sataki,06/20_2015,"Berlin, Berlin, Germany",Red,False,Lightweight,2,0,0,3,1,0,Southpaw,Orthodox,180.34,187.96,155.0,175.26,185.42,155.0,31.0,26.0
Taylor Lapilus,Yuta Sasaki,Wolf Menninger,06/20_2015,"Berlin, Berlin, Germany",Red,False,Bantamweight,1,1,0,1,0,0,Southpaw,Southpaw,177.8,180.34,125.0,167.64,185.42,135.0,25.0,23.0
Piotr Hallmann,Magomed Mustafaev,Kevin Sataki,06/20_2015,"Berlin, Berlin, Germany",Blue,False,Lightweight,0,0,0,2,2,0,Orthodox,Orthodox,172.72,180.34,155.0,175.26,180.34,155.0,26.0,27.0
Alejandro Perez,Patrick Williams,Dan Miragliotta,06/13_2015,"Mexico City, Distrito Federal, Mexico",Blue,False,Bantamweight,0,1,0,1,0,0,Orthodox,Orthodox,172.72,185.42,135.0,167.64,170.18,145.0,33.0,25.0
Henry Cejudo,Chico Camus,Mario Yamasaki,06/13_2015,"Mexico City, Distrito Federal, Mexico",Red,False,Flyweight,3,3,0,2,0,0,Orthodox,Orthodox,167.64,167.64,125.0,162.56,162.56,135.0,30.0,28.0
Tecia Torres,Angela Hill,John McCarthy,06/13_2015,"Mexico City, Distrito Federal, Mexico",Red,False,WomenStrawweight,1,0,0,1,0,0,Orthodox,Orthodox,160.02,162.56,115.0,154.94,152.4,115.0,30.0,25.0
Yair Rodriguez,Charles Rosa,Mario Yamasaki,06/13_2015,"Mexico City, Distrito Federal, Mexico",Red,False,Featherweight,1,1,0,1,0,0,Switch,Orthodox,175.26,175.26,145.0,180.34,180.34,145.0,28.0,22.0
Gilbert Melendez,Eddie Alvarez,John McCarthy,06/13_2015,"Mexico City, Distrito Federal, Mexico",Blue,False,Lightweight,0,1,0,1,2,0,Orthodox,Orthodox,175.26,175.26,155.0,175.26,185.42,145.0,31.0,33.0
Cain Velasquez,Fabricio Werdum,Herb Dean,06/13_2015,"Mexico City, Distrito Federal, Mexico",Blue,True,Heavyweight,7,2,0,11,1,0,Orthodox,Orthodox,193.04,195.58,231.0,185.42,195.58,240.0,37.0,32.0
Kelvin Gastelum,Nate Marquardt,Dan Miragliotta,06/13_2015,"Mexico City, Distrito Federal, Mexico",Red,False,Middleweight,11,7,0,5,1,0,Orthodox,Southpaw,182.88,187.96,185.0,175.26,180.34,185.0,36.0,23.0
Efrain Escudero,Drew Dober,Herb Dean,06/13_2015,"Mexico City, Distrito Federal, Mexico",Red,False,Lightweight,1,3,0,4,5,0,Southpaw,Orthodox,172.72,177.8,155.0,175.26,180.34,155.0,26.0,29.0
Francisco Trevino,Johnny Case,John McCarthy,06/13_2015,"Mexico City, Distrito Federal, Mexico",Blue,False,Lightweight,2,0,0,1,0,0,Orthodox,Orthodox,177.8,182.88,155.0,175.26,177.8,155.0,25.0,33.0
Gabriel Benitez,Clay Collard,Mario Yamasaki,06/13_2015,"Mexico City, Distrito Federal, Mexico",Red,False,Featherweight,1,1,0,1,0,0,Orthodox,Southpaw,180.34,185.42,145.0,172.72,180.34,155.0,22.0,26.0
Augusto Montano,Cathal Pendred,Herb Dean,06/13_2015,"Mexico City, Distrito Federal, Mexico",Blue,False,Welterweight,3,0,0,1,0,0,Orthodox,Orthodox,185.42,190.5,170.0,185.42,185.42,170.0,27.0,30.0
Tim Boetsch,Dan Henderson,John McCarthy,06/06_2015,"New Orleans, Louisiana, USA",Blue,False,Middleweight,7,7,0,9,7,0,Orthodox,Orthodox,180.34,187.96,185.0,182.88,187.96,185.0,44.0,34.0
Francisco Rivera,Alex Caceres,Dan Miragliotta,06/06_2015,"New Orleans, Louisiana, USA",Red,False,Bantamweight,5,6,0,3,4,0,Southpaw,Orthodox,177.8,185.42,145.0,172.72,177.8,135.0,26.0,33.0
Joe Soto,Anthony Birchak,John McCarthy,06/06_2015,"New Orleans, Louisiana, USA",Blue,False,Bantamweight,0,1,0,0,1,0,Orthodox,Orthodox,172.72,175.26,135.0,167.64,165.1,135.0,29.0,28.0
Thiago Tavares,Brian Ortega,Dan Miragliotta,06/06_2015,"New Orleans, Louisiana, USA",Blue,False,Featherweight,0,1,0,9,6,0,Switch,Orthodox,172.72,175.26,145.0,170.18,177.8,145.0,24.0,30.0
Dustin Poirier,Yancy Medeiros,John McCarthy,06/06_2015,"New Orleans, Louisiana, USA",Red,False,Lightweight,2,3,0,9,3,0,Orthodox,Southpaw,177.8,190.5,155.0,175.26,182.88,155.0,27.0,26.0
Ben Rothwell,Matt Mitrione,Dan Miragliotta,06/06_2015,"New Orleans, Louisiana, USA",Red,False,Heavyweight,9,3,0,4,3,0,Switch,Orthodox,190.5,208.28,265.0,193.04,198.12,265.0,36.0,33.0
Shawn Jordan,Derrick Lewis,Gabe Barahona,06/06_2015,"New Orleans, Louisiana, USA",Red,False,Heavyweight,3,1,0,5,3,0,Orthodox,Southpaw,190.5,200.66,260.0,182.88,190.5,260.0,30.0,30.0
Brian Ebersole,Omari Akhmedov,Jordan Bass,06/06_2015,"New Orleans, Louisiana, USA",Blue,False,Welterweight,2,1,0,5,2,0,Orthodox,Southpaw,182.88,185.42,185.0,182.88,185.42,170.0,27.0,34.0
Chris Wade,Christos Giagos,Robbie Scheureumann,06/06_2015,"New Orleans, Louisiana, USA",Red,False,Lightweight,1,1,0,2,0,0,Orthodox,Orthodox,177.8,180.34,155.0,177.8,177.8,155.0,25.0,27.0
Joe Proctor,Justin Edwards,Myron Gaudet,06/06_2015,"New Orleans, Louisiana, USA",Red,False,Lightweight,2,4,0,3,2,0,Orthodox,Orthodox,177.8,177.8,155.0,177.8,182.88,155.0,32.0,29.0
KJ Noons,Alex Oliveira,Mario Yamasaki,05/30_2015,"Goiania, Goias, Brazil",Blue,False,Welterweight,0,1,0,2,2,0,Orthodox,Orthodox,180.34,193.04,170.0,177.8,177.8,155.0,27.0,32.0
Jussier Formiga,Wilson Reis,Camila Albuquerque,05/30_2015,"Goiania, Goias, Brazil",Red,False,Flyweight,3,1,0,3,2,0,Southpaw,Orthodox,162.56,165.1,125.0,165.1,170.18,125.0,30.0,30.0
Francimar Barroso,Ryan Jimmo,Kevin MacDonald,05/30_2015,"Goiania, Goias, Brazil",Red,False,LightHeavyweight,3,3,0,1,1,0,Orthodox,Orthodox,185.42,185.42,205.0,185.42,190.5,205.0,33.0,35.0
Rony Jason,Damon Jackson,Kevin MacDonald,05/30_2015,"Goiania, Goias, Brazil",Draw,False,Featherweight,0,1,0,4,2,0,Switch,Orthodox,180.34,180.34,145.0,170.18,185.42,145.0,26.0,31.0
Carlos Condit,Thiago Alves,Mario Yamasaki,05/30_2015,"Goiania, Goias, Brazil",Red,False,Welterweight,13,6,0,6,4,0,Orthodox,Orthodox,175.26,177.8,170.0,187.96,190.5,170.0,31.0,31.0
Francisco Trinaldo,Norman Parke,Camila Albuquerque,05/30_2015,"Goiania, Goias, Brazil",Red,False,Lightweight,4,2,0,6,3,0,Southpaw,Southpaw,180.34,177.8,155.0,175.26,177.8,155.0,28.0,36.0
Nik Lentz,Charles Oliveira,Kevin MacDonald,05/30_2015,"Goiania, Goias, Brazil",Blue,False,Featherweight,7,5,0,9,5,0,Orthodox,Orthodox,177.8,187.96,155.0,172.72,172.72,145.0,25.0,30.0
Elizeu Zaleski dos Santos,Nicolas Dalby,Fernando Yamasaki,05/30_2015,"Goiania, Goias, Brazil",Blue,False,Welterweight,0,0,0,0,0,0,Orthodox,Orthodox,180.34,187.96,170.0,180.34,185.42,170.0,30.0,28.0
Lucas Martins,Mirsad Bektic,Mario Yamasaki,05/30_2015,"Goiania, Goias, Brazil",Blue,False,Featherweight,2,0,0,3,2,0,Orthodox,Southpaw,172.72,177.8,145.0,182.88,182.88,145.0,24.0,26.0
Chris Weidman,Vitor Belfort,Herb Dean,05/23_2015,"Las Vegas, Nevada, USA",Red,True,Middleweight,13,6,0,8,0,0,Southpaw,Orthodox,182.88,187.96,185.0,187.96,198.12,185.0,38.0,30.0
Uriah Hall,Rafael Natal,Mark Smith,05/23_2015,"Las Vegas, Nevada, USA",Blue,False,Middleweight,7,5,0,3,2,0,Orthodox,Orthodox,182.88,195.58,185.0,182.88,200.66,185.0,32.0,30.0
John Dodson,Zach Makovsky,Herb Dean,05/23_2015,"Las Vegas, Nevada, USA",Red,False,Flyweight,3,1,0,5,1,0,Southpaw,Orthodox,162.56,162.56,125.0,160.02,167.64,135.0,32.0,30.0
Anthony Johnson,Daniel Cormier,John McCarthy,05/23_2015,"Las Vegas, Nevada, USA",Blue,True,LightHeavyweight,4,1,0,10,4,0,Orthodox,Orthodox,180.34,182.88,235.0,187.96,198.12,205.0,36.0,31.0
Travis Browne,Andrei Arlovski,Mark Smith,05/23_2015,"Las Vegas, Nevada, USA",Blue,False,Heavyweight,12,4,0,8,3,0,Orthodox,Orthodox,190.5,195.58,240.0,198.12,200.66,255.0,36.0,32.0
Dong Hyun Kim,Joshua Burkman,Jason Herzog,05/23_2015,"Las Vegas, Nevada, USA",Red,False,Welterweight,5,6,0,10,4,0,Orthodox,Southpaw,177.8,182.88,170.0,187.96,193.04,170.0,35.0,33.0
Joseph Benavidez,John Moraga,John McCarthy,05/23_2015,"Las Vegas, Nevada, USA",Red,False,Flyweight,5,2,0,8,2,0,Orthodox,Southpaw,167.64,167.64,125.0,162.56,165.1,125.0,31.0,30.0
Donald Cerrone,John Makdessi,Jason Herzog,05/23_2015,"Las Vegas, Nevada, USA",Red,False,Lightweight,6,3,0,14,3,0,Orthodox,Orthodox,172.72,172.72,155.0,185.42,185.42,155.0,30.0,32.0
Mike Pyle,Colby Covington,Herb Dean,05/23_2015,"Las Vegas, Nevada, USA",Blue,False,Welterweight,2,0,0,9,5,0,Orthodox,Orthodox,180.34,182.88,170.0,182.88,187.96,170.0,27.0,39.0
Justin Scoggins,Josh Sampo,Mark Smith,05/23_2015,"Las Vegas, Nevada, USA",Red,False,Flyweight,1,2,0,2,2,0,Orthodox,Southpaw,162.56,162.56,125.0,170.18,167.64,125.0,30.0,23.0
Hyun Gyu Lim,Neil Magny,Steve Perceval,05/16_2015,"Manila, Philippines",Blue,False,Welterweight,7,2,0,3,1,0,Orthodox,Orthodox,190.5,203.2,170.0,190.5,195.58,170.0,27.0,30.0
Gegard Mousasi,Constantinos Philippou,Greg Kleynjans,05/16_2015,"Manila, Philippines",Red,False,Middleweight,6,3,0,3,2,0,Orthodox,Orthodox,180.34,185.42,185.0,187.96,193.04,185.0,35.0,29.0
Mark Eddiva,Levan Makashvili,Terry Hill,05/16_2015,"Manila, Philippines",Blue,False,Featherweight,0,0,0,1,1,0,Orthodox,Orthodox,172.72,172.72,145.0,172.72,172.72,145.0,26.0,29.0
Zhang Lipeng,Kajan Johnson,Greg Kleynjans,05/16_2015,"Manila, Philippines",Blue,False,Lightweight,0,1,0,2,1,0,Orthodox,Southpaw,180.34,190.5,155.0,180.34,180.34,155.0,31.0,25.0
Mark Munoz,Luke Barnatt,Terry Hill,05/16_2015,"Manila, Philippines",Red,False,Middleweight,3,2,0,8,6,0,Orthodox,Orthodox,198.12,195.58,185.0,182.88,180.34,185.0,27.0,37.0
Frankie Edgar,Urijah Faber,Steve Perceval,05/16_2015,"Manila, Philippines",Red,False,Featherweight,8,3,0,12,5,0,Orthodox,Orthodox,167.64,170.18,135.0,167.64,172.72,135.0,36.0,33.0
Li Jingliang,Dhiego Lima,Terry Hill,05/16_2015,"Manila, Philippines",Red,False,Welterweight,1,2,0,1,1,0,Orthodox,Orthodox,187.96,190.5,170.0,182.88,180.34,170.0,26.0,27.0
Guangyou Ning,Royston Wee,Steve Perceval,05/16_2015,"Manila, Philippines",Red,False,Bantamweight,2,0,0,1,0,0,Orthodox,Southpaw,170.18,170.18,135.0,162.56,162.56,145.0,28.0,33.0
Daniel Kelly,Sam Alvey,Steve Perceval,05/09_2015,"Adelaide, South Australia, Australia",Blue,False,Middleweight,2,1,0,2,0,0,Southpaw,Southpaw,187.96,190.5,205.0,182.88,177.8,185.0,29.0,37.0
Stipe Miocic,Mark Hunt,John Sharp,05/09_2015,"Adelaide, South Australia, Australia",Red,False,Heavyweight,5,4,0,6,2,0,Orthodox,Orthodox,177.8,182.88,265.0,193.04,203.2,240.0,41.0,32.0
Jake Matthews,James Vick,Steve Perceval,05/09_2015,"Adelaide, South Australia, Australia",Blue,False,Lightweight,3,0,0,2,0,0,Orthodox,Orthodox,190.5,193.04,155.0,180.34,185.42,170.0,28.0,20.0
Anthony Perosh,Sean O'Connell,Greg Kleynjans,05/09_2015,"Adelaide, South Australia, Australia",Blue,False,LightHeavyweight,1,2,0,5,5,0,Orthodox,Orthodox,185.42,187.96,205.0,190.5,190.5,205.0,31.0,42.0
Brad Tavares,Robert Whittaker,Steve Perceval,05/09_2015,"Adelaide, South Australia, Australia",Blue,False,Middleweight,4,2,0,8,3,0,Orthodox,Orthodox,182.88,185.42,185.0,185.42,187.96,185.0,24.0,27.0
Hatsu Hioki,Dan Hooker,John Sharp,05/09_2015,"Adelaide, South Australia, Australia",Blue,False,Featherweight,1,1,0,3,4,0,Switch,Orthodox,182.88,190.5,155.0,180.34,185.42,145.0,25.0,31.0
Dylan Andrews,Brad Scott,Greg Kleynjans,05/09_2015,"Adelaide, South Australia, Australia",Blue,False,Middleweight,1,2,0,2,2,0,Orthodox,Switch,185.42,193.04,170.0,185.42,187.96,185.0,25.0,35.0
